address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
开发区湾里南12栋-16、17、18号,大连,大连金湾实业有限公司,开发区,20200207,39.0710420980366,121.85699498414282,湾里东,249,8409,大连金湾物业管理有限公司,0.5,辽宁,6,二手房,2001
开发区湾里南12栋-16、17、18号,大连,大连金湾实业有限公司,开发区,20200207,39.0710420980366,121.85699498414282,湾里南小区,398,8911,大连金湾物业管理有限公司,0.3,辽宁,16,二手房,2002
华新苑10号公建,大连,大连新型房地产开发有限公司,沙河口,20200207,39.7087228081588,115.98904276913356,侯一小区,170,11726,大连新兴物业管理有限公司,0.3,辽宁,22,二手房,1988
山东路215号,大连,无开发商,甘井子,20200207,-,-,兴华路,57,12856,街道办事处（居委会）代管物业,0.5,辽宁,4,二手房,1986
榆林街37-11号,大连,新型房地产开发有限公司,甘井子,20200207,-,-,泡崖美林园,206,11672,新兴物业,0.6,辽宁,26,二手房,1996
沙河口区富民路120号4单元1层1号,大连,大连渤海红旗集团有限公司,沙河口,20200207,38.93096547830764,121.56488196913604,马栏小学北,79,11048,街道办事处（居委会）代管物业,0.2,辽宁,8,二手房,1990
山东路184号,大连,大连市大钢集团,甘井子,20200207,-,-,山东路,79,13130,街道办事处（居委会）代管物业,0.2,辽宁,7,二手房,1900
辽宁省大连市甘井子区泉水D1区37-7号1单元1层2号,大连,大连运腾房地产开发有限公司,甘井子,20200207,38.95800216293212,121.53151895549547,锦泉源D2区,188,13749,大连嘉毅物业管理有限公司,0.5,辽宁,16,二手房,2000
玉湖街25号,大连,大连新型房地产开发有限公司,甘井子,20200207,-,-,泡崖四区,154,11093,大连新型物业管理有限公司,0.5,辽宁,10,二手房,1995
香炉礁街24号1-1,大连,无开发商,西岗,20200207,-,-,香炉礁,167,11253,街道办事处（居委会）代管物业,0.1,辽宁,23,二手房,1979
逸林南园1-1,大连,大连三联置业有限公司,甘井子,20200207,29.83619327037016,121.5195684207441,三鼎春天,88,24132,瑞联德（大连）物业管理有限公司,2.8,辽宁,5,二手房,2016
昌黎街22号,大连,大连城市建设集团有限公司,沙河口,20200207,-,-,北昌平小区,123,13609,无物业管理服务,0.8,辽宁,11,二手房,1983
开发区东城园98-14号,大连,大连乾豪集团有限公司,开发区,20200207,31.351231014512848,104.21781067832417,东城天下,381,8736,大连远洋基业物业管理有限公司,0.9,辽宁,21,二手房,2001
