address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
辽宁省大连市甘井子区泉水D区10-2-1-1-7号,大连,大连运腾房地产开发有限公司,甘井子,20191115,38.95800216293212,121.53151895549547,锦泉源D2区,201,13526,大连嘉毅物业管理有限公司,0.5,辽宁,10,二手房,2000
开发区湾里东43栋-11号,大连,大连金湾实业有限公司,开发区,20191115,31.117313506164354,121.35679871346586,湾里东,245,8387,大连金湾物业管理有限公司,0.5,辽宁,12,二手房,2001
开发区湾里东43栋-11号,大连,大连金湾实业有限公司,开发区,20191115,31.117313506164354,121.35679871346586,湾里南小区,403,8836,大连金湾物业管理有限公司,0.5,辽宁,36,二手房,2002
山东路215号,大连,大连市大钢集团,甘井子,20191115,-,-,山东路,82,12933,街道办事处（居委会）代管物业,0.2,辽宁,10,二手房,1900
沙河口区富民路120号4单元1层1号,大连,大连渤海红旗集团有限公司,沙河口,20191115,38.93096547830764,121.56488196913604,马栏小学北,81,10954,街道办事处（居委会）代管物业,0.2,辽宁,5,二手房,1990
辽宁省大连市沙河口区沙能街101号,大连,大连新型房地产开发有限公司,沙河口,20191115,38.9366316275348,121.59031205759763,侯二小区,176,11566,街道办事处（居委会）代管物业,0.1,辽宁,24,二手房,1978
榆林街37-11号,大连,新型房地产开发有限公司,甘井子,20191115,-,-,泡崖美林园,223,11646,新兴物业,0.6,辽宁,33,二手房,1996
华新苑10号公建,大连,大连新型房地产开发有限公司,沙河口,20191115,39.7087228081588,115.98904276913356,侯一小区,171,11471,大连新兴物业管理有限公司,0.3,辽宁,34,二手房,1988
山东路215号,大连,无开发商,甘井子,20191115,-,-,兴华路,46,12928,街道办事处（居委会）代管物业,0.5,辽宁,5,二手房,1986
香炉礁街24号1-1,大连,无开发商,西岗,20191115,-,-,香炉礁,179,10940,街道办事处（居委会）代管物业,0.1,辽宁,14,二手房,1979
逸林南园1-1,大连,大连三联置业有限公司,甘井子,20191115,29.83619327037016,121.5195684207441,三鼎春天,91,24317,瑞联德（大连）物业管理有限公司,2.8,辽宁,8,二手房,2016
大连市开发区黄河西路54号号,大连,中国铁路十三局,开发区,20191115,39.04780470991997,121.76709962040248,翠竹小区,130,8345,大连经济技术开发区中强物业管理有限公司,0.3,辽宁,11,二手房,1995
玉湖街25号,大连,大连新型房地产开发有限公司,甘井子,20191115,-,-,泡崖四区,182,10911,大连新型物业管理有限公司,0.5,辽宁,27,二手房,1998
辽宁省大连经济技术开发区东城园98-10号,大连,大连乾豪集团有限公司,开发区,20191115,39.06947065728432,121.85041399797672,东城天下,378,8628,大连远洋基业物业管理有限公司,0.9,辽宁,29,二手房,2001
昌黎街22号,大连,大连城市建设集团有限公司,沙河口,20191115,-,-,北昌平小区,139,13518,无物业管理服务,0.8,辽宁,18,二手房,1983
刘家桥86号2-28号,大连,无开发商,沙河口,20191115,30.75381694129544,121.29501254184517,刘家桥,92,11059,街道办事处（居委会）代管物业,0.1,辽宁,13,二手房,1980
山东路215号,大连,大连嘉兴房地产开发有限公司,甘井子,20191115,-,-,千山路,77,12646,无物业管理服务,0.5,辽宁,10,二手房,1985
