address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
沙河口区华新苑10号楼4号公建,大连,大连新型房地产开发有限公司,沙河口,20190621,38.94033750532864,121.58990295130229,侯一小区,149,11324,大连新兴物业管理有限公司,0.3,辽宁,30,二手房,1989
开发区湾里南12栋-16-17-18号,大连,大连金湾实业有限公司,开发区,20190621,39.070782084451,121.8506739675913,湾里南小区,373,8744,大连金湾物业管理有限公司,0.3,辽宁,36,二手房,2003
大连市甘井子区柳林园8-7号,大连,大连万科置业有限公司,甘井子,20190621,38.91290525308349,121.47673750074993,万科溪之谷,205,14571,大连万科物业服务有限公司,0.6,辽宁,26,二手房,2007
沙河口区沙能街101号1单元1层1号,大连,大连新型房地产开发有限公司,沙河口,20190621,38.9366316275348,121.59031205759763,侯二小区,175,11129,街道办事处（居委会）代管物业,0.1,辽宁,39,二手房,1985
甘井子区榆林街37号-12公建,大连,大连新型房地产开发有限公司,甘井子,20190621,38.980133141940186,121.52779506952932,泡崖美林园,255,11604,大连新型物业管理有限公司,0.6,辽宁,64,二手房,2003
甘井子区宜居园10-1号房屋,大连,大连万科房地产开发有限公司,甘井子,20190621,38.99913094587405,121.52084969112292,万科魅力之城,201,14645,大连万科物业服务有限公司,1.5,辽宁,40,二手房,2012
大连开发区金马路169-2-8号,大连,大连亿锋房地产实业有限公司,开发区,20190621,39.057398235688176,121.78261137849105,亿锋现代城,155,10136,亿锋豪景物业管理有限公司,1.1,辽宁,28,二手房,2006
大连经济技术开发区东城天下98-14,大连,大连乾豪集团有限公司,开发区,20190621,39.069195091289004,121.8502099927954,东城天下,364,8752,大连远洋基业物业管理有限公司,0.9,辽宁,46,二手房,2005
开发区正恒园1-16,大连,大连华宇房地产开发有限公司,开发区,20190621,39.04823944344617,121.76165468797754,左岸经典,253,9016,大连豪之英物业管理有限公司,1.8,辽宁,26,二手房,2009
开发区湾里南12栋-16-17-18号,大连,大连金湾实业有限公司,开发区,20190621,39.070782084451,121.8506739675913,湾里东,205,8156,大连金湾物业管理有限公司,0.5,辽宁,28,二手房,2004
沙河口区新生路万客园3-7,大连,大连绿波房屋开发集团有限公司,沙河口,20190621,38.94412875710208,121.57006756704837,绿波小区,150,10999,大连绿波建设发展有限公司,0.2,辽宁,22,二手房,1998
沙河口区昌黎街22号,大连,大连城市建设集团有限公司,沙河口,20190621,38.91975785098891,121.59109628369768,北昌平小区,135,12872,无物业管理服务,-,辽宁,27,二手房,1983
大连经济技术开发区时代城4-3号1-2号,大连,远洋地产有限公司,开发区,20190621,39.0992481321252,121.83007860699459,远洋时代城一期,170,9325,大连远洋基业物业管理有限公司,1.5,辽宁,28,二手房,2012
沙河口区富民路120号4-1-1,大连,大连渤海红旗集团有限公司,沙河口,20190621,38.930937859528605,121.5647274237578,马栏小学北,89,10588,街道办事处（居委会）代管物业,0.2,辽宁,24,二手房,1994
甘井子区泉水D1区37-7号,大连,大连运腾房地产开发有限公司,甘井子,20190621,39.013992871679214,121.61921940045104,锦泉源D2区,224,13209,大连嘉毅物业管理有限公司,0.5,辽宁,27,二手房,2005
甘井子区祥溢园4号1单元1层9号公建,大连,"大连鹏德房屋开发有限公司,大连长鹭房屋开发有限公司,大连均卫达房地产开发有限公司,大连福田房屋开发有限公司,大连航宇房屋开发有限公司",甘井子,20190621,38.92981664067587,121.54940314023253,亲亲家园,64,15377,渤海吉祥物业管理有限公司,0.5,辽宁,23,二手房,2004
沙河口区马栏北街186号,大连,大连渤海红旗集团有限公司,甘井子,20190621,38.913544290955585,121.59450670056631,马栏北街,43,11381,大连辽南物业管理有限公司,0.2,辽宁,20,二手房,1993
金州新区先进街道渤海街7-4号1-2层、7-3号1-2层,大连,原金州纺织厂房地产公司,金州,20190621,39.09342713035472,121.74590886291374,金纺小区,189,6895,街道办事处（居委会）代管物业,0.5,辽宁,20,二手房,1985
甘井子区华北路花锦园28号23-3-1-2建筑物,大连,大连东特房地产开发有限公司,甘井子,20190621,38.951627958411166,121.5739439799003,东特新天地,58,16530,大连瑞祥物业管理有限公司,0.5,辽宁,19,二手房,2003
甘井子区祥龙街2号楼1单元1楼1号,大连,大连恒新房地产开发有限公司,甘井子,20190621,38.988045874482445,121.60439401971377,华东人家,41,14405,大连福佳物业管理有限公司,1,辽宁,20,二手房,2007
沙河口区五一路177-1-1-1,大连,无开发商,沙河口,20190621,38.913544290955585,121.59450670056631,台山,94,11776,街道办事处（居委会）代管物业,0.5,辽宁,20,二手房,1987
甘井子区红旗花园23号楼19-24轴公建,大连,大连红旗兴达房地产开发有限公司,甘井子,20190621,38.93108029984587,121.54902145022133,兴达花园,85,12802,大连万泰物业管理有限公司,0.3,辽宁,20,二手房,2000
甘井子区玉丽街2号楼1单元4号公建,大连,大连新型房地产开发总公司,甘井子,20190621,38.98705071699301,121.55513043130172,泡崖康顺园,141,11178,大连新兴物业管理有限公司,0.5,辽宁,21,二手房,2007
金州区鹏程家园53#-8,大连,大连光伸房地产开发有限公司,开发区,20190621,39.03523987258615,121.80826248065051,绿洲半岛北岸,129,9292,大连经济技术开发区光伸物业服务有限公司,1.2,辽宁,21,二手房,2007
开发区兴城路29-81层,大连,大连亿锋房地产实业有限公司,开发区,20190621,39.050214252167194,121.75835946441768,亿锋广场一期,78,14632,大连广恒物业管理有限公司,2.5,辽宁,21,二手房,2013
甘井子区静林街34号4单元1层2,大连,大连祥盛房屋开发有限公司,甘井子,20190621,38.98321485010885,121.58185179833856,千山心城,123,14577,大连百特物业管理有限公司,0.5,辽宁,22,二手房,2003
金州区金润花园B区47号1单元1层1号2号,大连,大连辽大房地产开发有限公司,金州,20190621,39.10434716151341,121.74517862677146,金润小区B区,184,8370,大连新兴物业管理有限公司,0.4,辽宁,25,二手房,2005
甘井子区泡崖六小区6号楼1单元1层2号,大连,大连新型房地产开发有限公司,甘井子,20190621,38.98033159306754,121.55920598894072,泡崖五区,78,11390,大连新兴物业管理有限公司,0.5,辽宁,22,二手房,1990
甘井子区宜居园10-1号房屋,大连,大连万科房地产开发有限公司,甘井子,20190621,38.99913094587405,121.52084969112292,万科朗润园,103,15030,大连万科物业服务有限公司,1.5,辽宁,25,二手房,2010
甘井子区玉湖街25号2单元1层3号,大连,大连新型房地产开发有限公司,甘井子,20190621,38.97626265183615,121.54617349027997,泡崖四区,184,10648,大连新型物业管理有限公司,0.5,辽宁,26,二手房,2002
无门店信息,大连,大连一方生态城房地产开发有限公司,开发区,20190621,34.52713835999158,118.76812980670795,一方天鹅湖,203,8103,大连一方物业管理有限公司,1.9,辽宁,18,二手房,2010
开发区东北三街94号1层,大连,大连欣达房地产开发有限公司,开发区,20190621,39.05723508011585,121.80570768630555,倚山里小区,227,7479,大连经济技术开发区聚盛达物业管理有限公司,0.2,辽宁,19,二手房,1996
大连市金州区站前街道生辉第一城14-3号1-2层,大连,大连新希望家园房地产有限公司,金州,20190621,39.0569681786798,121.74773530665969,新希望家园,200,8772,大连新希望物业服务有限公司,1.2,辽宁,19,二手房,2009
无门店信息,大连,无开发商,甘井子,20190621,34.52713835999158,118.76812980670795,石油六闾,67,9327,街道办事处（居委会）代管物业,0.5,辽宁,19,二手房,1989
甘井子区千山路26号,大连,大连市大钢集团,甘井子,20190621,38.985697948031984,121.58768860037272,山东路,88,12669,街道办事处（居委会）代管物业,0.2,辽宁,14,二手房,1986
