address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
开发区湾里东43栋-11号,大连,大连金湾实业有限公司,开发区,20200106,31.117313506164354,121.35679871346586,湾里东,253,8425,大连金湾物业管理有限公司,0.5,辽宁,10,二手房,2001
沙河口区富民路120号4单元1层1号,大连,大连渤海红旗集团有限公司,沙河口,20200106,38.93096547830764,121.56488196913604,马栏小学北,80,11048,街道办事处（居委会）代管物业,0.2,辽宁,7,二手房,1990
榆林街37-11号,大连,新型房地产开发有限公司,甘井子,20200106,-,-,泡崖美林园,192,11684,新兴物业,0.6,辽宁,39,二手房,1996
开发区湾里东43栋-11号,大连,大连金湾实业有限公司,开发区,20200106,31.117313506164354,121.35679871346586,湾里南小区,396,8870,大连金湾物业管理有限公司,0.3,辽宁,24,二手房,2002
辽宁省大连市甘井子区泉水D区10-2-1-1-7号,大连,大连运腾房地产开发有限公司,甘井子,20200106,38.95800216293212,121.53151895549547,锦泉源D2区,193,13653,大连嘉毅物业管理有限公司,0.5,辽宁,16,二手房,2000
华新苑10号公建,大连,大连新型房地产开发有限公司,沙河口,20200106,39.7087228081588,115.98904276913356,侯一小区,167,11632,大连新兴物业管理有限公司,0.3,辽宁,29,二手房,1988
山东路215号,大连,无开发商,甘井子,20200106,-,-,兴华路,51,12932,街道办事处（居委会）代管物业,0.5,辽宁,4,二手房,1986
山东路215号,大连,大连市大钢集团,甘井子,20200106,-,-,山东路,76,13094,街道办事处（居委会）代管物业,0.2,辽宁,11,二手房,1900
逸林南园1-1,大连,大连三联置业有限公司,甘井子,20200106,29.83619327037016,121.5195684207441,三鼎春天,91,24085,瑞联德（大连）物业管理有限公司,2.8,辽宁,5,二手房,2016
大连市开发区黄河西路54号号,大连,中国铁路十三局,开发区,20200106,39.04780470991997,121.76709962040248,翠竹小区,117,8222,大连经济技术开发区中强物业管理有限公司,0.3,辽宁,8,二手房,1995
香炉礁街24号1-1,大连,无开发商,西岗,20200106,-,-,香炉礁,170,11053,街道办事处（居委会）代管物业,0.1,辽宁,20,二手房,1979
辽宁省大连经济技术开发区东城园98-10号,大连,大连乾豪集团有限公司,开发区,20200106,39.06947065728432,121.85041399797672,东城天下,378,8686,大连远洋基业物业管理有限公司,0.9,辽宁,30,二手房,2001
玉湖街25号,大连,大连新型房地产开发有限公司,甘井子,20200106,-,-,泡崖四区,162,11064,大连新型物业管理有限公司,0.5,辽宁,22,二手房,1995
大连市开发区润海园中区30栋-1号,大连,华润置地（大连）有限公司,开发区,20200106,39.03913809369363,121.75878503934794,华润海中国二期,161,14133,华润物业（大连）有限公司,2.8,辽宁,15,二手房,2007
昌黎街22号,大连,大连城市建设集团有限公司,沙河口,20200106,-,-,北昌平小区,122,13624,无物业管理服务,0.8,辽宁,13,二手房,1983
黑石礁街5号1层1号,大连,无开发商,沙河口,20200106,-,-,黑石礁,15,12910,无物业管理服务,-,辽宁,1,二手房,1985
金泉路,大连,大连公路工程集团生辉房地产开发有限公司,金州,20200106,-,-,生辉第一城,138,11056,大连生辉物业管理有限公司,1.2,辽宁,10,二手房,2005
山东路215号,大连,大连嘉兴房地产开发有限公司,甘井子,20200106,-,-,千山路,77,12709,无物业管理服务,0.5,辽宁,6,二手房,1985
